step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_detections,metrics/test.rmse_detections_pcutoff,metrics/test.rmse_pcutoff
1,,,,,0.0009484814363531768,0.5163463950157166,0.01338290236890316,0.01338290236890316,,,,,,
2,,,,,0.0003096993896178901,0.3099360466003418,0.007903250865638256,0.007903250865638256,,,,,,
3,,,,,0.00021765194833278656,0.20543250441551208,0.00524463877081871,0.00524463877081871,,,,,,
4,,,,,0.00016071712889242917,0.1274651736021042,0.003266987856477499,0.003266987856477499,,,,,,
5,,,,,0.00011582504521356896,0.11792101711034775,0.0030059379059821367,0.0030059379059821367,,,,,,
6,,,,,8.914956561056897e-05,0.09143740683794022,0.0023305099457502365,0.0023305099457502365,,,,,,
7,,,,,8.066697046160698e-05,0.07690577208995819,0.001962977694347501,0.001962977694347501,,,,,,
8,,,,,6.19365819147788e-05,0.05523209273815155,0.0014117704704403877,0.0014117704704403877,,,,,,
9,,,,,6.497947470052168e-05,0.08133994787931442,0.002065988490357995,0.002065988490357995,,,,,,
10,4.1974348278017715e-05,0.05296381562948227,0.0013450825354084373,0.0013450825354084373,5.604987745755352e-05,0.06309864670038223,0.0016054912703111768,0.0016054912703111768,49.99999999999999,50.0,206.9870147705078,206.9870147705078,409.1063537597656,409.1063537597656
11,,,,,5.36390689376276e-05,0.0653809979557991,0.00166134478058666,0.00166134478058666,,,,,,
12,,,,,5.246064029051922e-05,0.0805060863494873,0.0020388823468238115,0.0020388823468238115,,,,,,
13,,,,,3.937863584724255e-05,0.049867887049913406,0.001266386592760682,0.001266386592760682,,,,,,
14,,,,,4.694004019256681e-05,0.059115298092365265,0.0015013524098321795,0.0015013524098321795,,,,,,
15,,,,,4.65292323497124e-05,0.0580320842564106,0.001474066753871739,0.001474066753871739,,,,,,
16,,,,,4.963282844983041e-05,0.05794784799218178,0.0014735127333551645,0.0014735127333551645,,,,,,
17,,,,,3.91941393900197e-05,0.045295827090740204,0.0011519929394125938,0.0011519929394125938,,,,,,
18,,,,,3.757536251214333e-05,0.035747677087783813,0.0009124795906245708,0.0009124795906245708,,,,,,
19,,,,,3.363653377164155e-05,0.041838638484478,0.0010627842275425792,0.0010627842275425792,,,,,,
20,2.8668568120338023e-05,0.0433172732591629,0.0010972662130370736,0.0010972662130370736,3.6034220102010295e-05,0.04093591496348381,0.0010414151474833488,0.0010414151474833488,49.99999999999999,50.0,206.7466583251953,206.7466583251953,411.3082580566406,411.3082580566406
21,,,,,2.830857010849286e-05,0.03616178035736084,0.0009181987843476236,0.0009181987843476236,,,,,,
22,,,,,3.340882176416926e-05,0.04832284525036812,0.0012247756822034717,0.0012247756822034717,,,,,,
23,,,,,3.838882184936665e-05,0.04972590506076813,0.0012623420916497707,0.0012623420916497707,,,,,,
24,,,,,2.8918599127791822e-05,0.03950013592839241,0.0010019625769928098,0.0010019625769928098,,,,,,
25,,,,,2.902766027546022e-05,0.03171957656741142,0.0008075031801126897,0.0008075031801126897,,,,,,
26,,,,,2.2624433768214658e-05,0.03365418314933777,0.0008526669116690755,0.0008526669116690755,,,,,,
27,,,,,2.391506131971255e-05,0.030130505561828613,0.0007652201456949115,0.0007652201456949115,,,,,,
28,,,,,2.771182516880799e-05,0.03725385665893555,0.0009452023077756166,0.0009452023077756166,,,,,,
29,,,,,2.1089328583911993e-05,0.03234030306339264,0.0008190523367375135,0.0008190523367375135,,,,,,
30,2.834684528352227e-05,0.061788059771060944,0.0015588749665766954,0.0015588749665766954,2.3377344405162148e-05,0.030039554461836815,0.0007626775768585503,0.0007626775768585503,49.99999999999999,50.0,207.11781311035156,207.11781311035156,411.0248107910156,411.0248107910156
31,,,,,2.2821044694865122e-05,0.028988756239414215,0.0007361294701695442,0.0007361294701695442,,,,,,
32,,,,,2.091105852741748e-05,0.024400442838668823,0.0006204666569828987,0.0006204666569828987,,,,,,
33,,,,,2.340398532396648e-05,0.03486093506217003,0.0008832252351567149,0.0008832252351567149,,,,,,
34,,,,,2.081554521282669e-05,0.03608601912856102,0.0009125582873821259,0.0009125582873821259,,,,,,
35,,,,,2.3255352061823942e-05,0.032785285264253616,0.0008312598220072687,0.0008312598220072687,,,,,,
36,,,,,3.21507832268253e-05,0.029517535120248795,0.0007540137739852071,0.0007540137739852071,,,,,,
37,,,,,2.4787148504401557e-05,0.028288010507822037,0.0007195938378572464,0.0007195938378572464,,,,,,
38,,,,,1.841703306126874e-05,0.026231156662106514,0.0006649873685091734,0.0006649873685091734,,,,,,
39,,,,,1.8060009097098373e-05,0.033232104033231735,0.0008398324716836214,0.0008398324716836214,,,,,,
