scorer,,,ryo,ryo,ryo,ryo,ryo,ryo,ryo,ryo
bodyparts,,,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,objectA,objectA
coords,,,x,y,x,y,x,y,x,y
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img007.png,185.9585486253821,71.17733073009273,142.76969412559154,102.63587906944636,180.09339554516362,82.37444115596438,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img021.png,182.7593742179902,76.5092880757459,142.76969412559154,109.56742361879546,180.62659127972893,85.57361556335627,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img023.png,181.15978701429424,78.64207101400717,142.23649839102623,106.90144494596888,178.49380834146766,88.77278997074816,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img025.png,179.027004076033,79.17526674857248,141.70330265646092,110.10061935336077,176.3610254032064,91.43876864357472,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img034.png,174.22824246494514,83.440832625095,137.4377367799384,113.832989495318,174.22824246494514,92.50516011270537,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img038.png,172.6286552612492,85.04041982879093,134.77175810711182,116.49896816814456,172.0954595266839,94.63794305096661,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img042.png,169.4294808538573,88.77278997074816,128.37340929232803,119.69814257553645,168.3630893847267,100.50309613118509,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img054.png,164.09752350820415,117.03216390270987,118.24269033558706,129.29566579771213,159.83195763168163,125.03009992118962,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img064.png,155.0331960205938,113.29979376075266,105.44599270601948,109.56742361879549,151.3008258786366,123.43051271749366,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img066.png,156.09958748972443,110.63381508792608,106.51238417515012,113.29979376075269,148.1016514712447,119.16494684097114,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img076.png,150.7676301440713,106.90144494596888,101.18042682949697,107.96783641509953,143.8360855947222,114.89938096444862,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img090.png,139.57051971819965,77.57567954487655,96.91486095297444,106.9014449459689,141.1701069218956,95.17113878553195,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img098.png,132.63897516885055,75.44289660661528,93.71568654558254,113.29979376075269,138.50412824906903,114.36618522988331,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img102.png,126.7738220886321,77.57567954487655,86.78414199623346,115.43257669901396,133.1721709034159,118.63175110640583,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img116.png,119.842277539283,91.43876864357475,75.05383583579652,128.2292743285815,124.64103915037083,133.02803593966934,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img129.png,108.11197137884606,80.24165821770313,69.18868275557804,129.29566579771216,117.70949460102173,128.76247006314682,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img134.png,105.44599270601948,78.64207101400717,68.65548702101273,126.62968712488558,118.24269033558706,130.36205726684278,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img142.png,100.11403536036633,105.30185774227294,58.52476806427174,138.89318901988784,101.18042682949697,117.0321639027099,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img148.png,103.31320976775822,128.2292743285815,52.12641924948797,141.02597195814909,99.04764389123571,139.42638475445312,,
labeled-data,4B0CCEC3-B219-4C7F-A07C-F0ACDF82976E Copy,img164.png,108.11197137884606,134.6276231433653,60.12435526796769,138.35999328532253,96.38166521840914,158.6214311988045,,
